Computation translation

1 1 1 [a c1 c2 c3 c4 c5 c6] d1 d2 d3 j1 j2 j3

comp	a  c1 c2 c3 c4 c5 c6

0		0  1  0  1  0  1  0
1		0  1  1  1  1  1  1
-1		0  1  1  1  0  1  0
D		0  0  0  1  1  0  0
A		0  1  1  0  0  0  0
!D		0  0  0  1  1  0  1
!A		0  1  1  0  0  0  1
-D		0  0  0  1  1  1  1
-A		0  1  1  0  0  1  1
D+1		0  0  1  1  1  1  1
A+1		0  1  1  0  1  1  1
D-1		0  0  0  1  1  1  0
A-1		0  1  1  0  0  1  0
D+A		0  0  0  0  0  1  0
D-A		0  0  1  0  0  1  1
A-D		0  0  0  0  1  1  1
D&A		0  0  0  0  0  0  0
D|A		0  0  1  0  1  0  1

M		1  1  1  0  0  0  0
!M		1  1  1  0  0  0  1
-M		1  1  1  0  0  1  1	
M+1		1  1  1  0  1  1  1
M-1		1  1  1  0  0  1  0
D+M		1  0  0  0  0  1  0
D-M		1  0  1  0  0  1  1
M-D		1  0  0  0  1  1  1
D&M		1  0  0  0  0  0  0
D|M		1  0  1  0  1  0  1

